#pixels,2021_07_15,2021_08_25
22465,0.8041996,0.17182057
22466,0.7689424,0.27671212
22463,0.7556262,0.18021633
22466,0.7858185,0.23479155
22468,0.8443157,0.19254652
22464,0.83731747,0.1602159
22466,0.8079086,0.1574433
22464,0.8427657,0.16131091
22466,0.6674422,0.18981637
22468,0.8290702,0.22815406
22467,0.8470122,0.18723975
22464,0.86020213,0.20038372
22464,0.7985489,0.19631183
22465,0.84526956,0.22381903
22467,0.83427393,0.17085683
22469,0.8269261,0.19481692
22467,0.72049636,0.2092189
22467,0.8339705,0.18687943
22468,0.79848504,0.2126659
22466,0.8334097,0.22350244
22466,0.80862176,0.20748799
22468,0.8262631,0.23143774
22466,0.8196038,0.18974775
22467,0.8192209,0.19415365
22464,0.69567907,0.15799892
22466,0.8084114,0.22858065
22468,0.8638304,0.18675116
22469,0.8605878,0.18278888
22466,0.839271,0.1632071
22468,0.8618071,0.19964047
22468,0.8352973,0.23812486
22465,0.84660304,0.19122796
22464,0.7576603,0.1501366
22466,0.81258583,0.22412959
22465,0.826577,0.25418574
22468,0.8229718,0.22647996
22468,0.8013433,0.18894345
22465,0.7980185,0.19808477
22466,0.79861206,0.18377411
22466,0.7800057,0.23457691
22466,0.65145123,0.22229114
22466,0.8197606,0.22747903
22464,0.79247403,0.2008911
22464,0.77565944,0.19937338
22465,0.7684883,0.25946087
22464,0.8072684,0.20383231
22466,0.82280296,0.16463624
22466,0.74893695,0.23155501
22468,0.65452003,0.186503
22470,0.78179294,0.20145279
22468,0.8198418,0.25081146
22464,0.75876826,0.2151012
22464,0.78355455,0.19452016
22464,0.8232808,0.18618505
22465,0.8448677,0.20525819
22469,0.777443,0.20591792
22467,0.6880929,0.19573684
22470,0.75859773,0.23891532
22469,0.823065,0.22550853
22468,0.82568157,0.17874183
22464,0.8329263,0.17143403
22470,0.762869,0.17319123
22466,0.7497681,0.1801316
22467,0.8262761,0.2159199
22465,0.7709748,0.18747146
22465,0.8457658,0.18261348
22464,0.85275364,0.20640671
22468,0.84249336,0.22227216
22467,0.79473126,0.17836101
22465,0.8133888,0.19182886
22470,0.76570654,0.18702605
22465,0.8428484,0.16721688
22464,0.75422907,0.19380398
22466,0.81983626,0.18904826
22465,0.835451,0.20354125
22466,0.8500215,0.19230413
22468,0.8350781,0.16640948
22463,0.8525602,0.16942921
22467,0.83163553,0.228634
22465,0.78653455,0.18251641
22464,0.69987476,0.16088699
22465,0.8128542,0.2030001
22465,0.8412576,0.23218729
22465,0.8243528,0.18600984
22464,0.847682,0.24521285
22467,0.80496013,0.17235467
22465,0.82436794,0.18107523
22466,0.8036874,0.16964644
22469,0.74119383,0.2127433
22470,0.82210785,0.23993506
22469,0.8287779,0.20210297
22466,0.83792984,0.21515453
22463,0.8493683,0.20439884
22468,0.8455505,0.2000068
22464,0.807894,0.2121525
22469,0.82824147,0.1750339
22468,0.7200464,0.17892554
22468,0.8207188,0.19157717
22467,0.88738465,0.18932861
22467,0.80335855,0.23052421
22466,0.8508408,0.19312645
22468,0.84247744,0.21851929
22470,0.8238549,0.23881297
22467,0.7902748,0.20871341
22464,0.73323226,0.20039074
22465,0.831899,0.22778735
22466,0.8466192,0.19076674
22469,0.85858625,0.18205209
22469,0.85321563,0.19045176
22467,0.81448483,0.24762164
22468,0.75620335,0.25379655
22466,0.81480175,0.1887124
22467,0.7011195,0.2057185
22463,0.85611737,0.21583508
22465,0.8630446,0.2346107
22467,0.8420962,0.22677468
22470,0.8498034,0.19548935
22467,0.85385215,0.20861644
22465,0.8485925,0.23020692
22466,0.84930074,0.21442841
22465,0.78488594,0.19278827
22466,0.88397014,0.2300241
22466,0.8691422,0.18571304
22465,0.8787656,0.18195967
22466,0.8566467,0.2052917
22465,0.80461055,0.24521618
22466,0.8609257,0.18214333
22468,0.8301287,0.21477301
22469,0.79507095,0.17991734
22469,0.8711084,0.19929859
22471,0.8783524,0.20831515
22466,0.88078064,0.19971444
22465,0.8721849,0.19684416
22467,0.8629578,0.18675925
22464,0.8614847,0.18530451
22469,0.86813205,0.1903188
22470,0.80867165,0.17075723
22467,0.88795996,0.23403504
22467,0.8897315,0.21322507
22467,0.87929726,0.21161835
22467,0.87091047,0.20550916
22471,0.87996143,0.21253875
22467,0.8710708,0.21447384
22469,0.8708616,0.20723991
22465,0.81824243,0.19346716
22466,0.81390715,0.20021147
22466,0.7942278,0.19819325
22465,0.8352664,0.1843163
22464,0.82278657,0.17912804
22464,0.8151171,0.17196925
22465,0.8084867,0.16639219
22466,0.7061789,0.1938694
