plot id,#pixels,NDVI,<0.0,0.0 - 0.1,0.1 - 0.2,0.2 - 0.3,0.3 - 0.4,0.4 - 0.5,0.5 - 0.6,0.6 - 0.7,0.7 - 0.8,0.8 - 0.9,0.9 - 1.0
0,20704,0.17182057,33,2797,11153,6162,499,37,23,0,0,0,0
1,20710,0.27671212,0,12,1691,12407,6047,467,86,0,0,0,0
2,20705,0.18021633,34,1634,11387,7410,215,14,11,0,0,0,0
3,20711,0.23479155,0,85,5428,13065,1928,178,23,4,0,0,0
4,20706,0.19254652,0,1308,9698,9074,611,15,0,0,0,0,0
5,20702,0.1602159,5,2737,13424,4243,266,27,0,0,0,0,0
6,20706,0.1574433,0,2079,15005,3479,132,11,0,0,0,0,0
7,20707,0.16131091,1,2018,14196,4464,28,0,0,0,0,0,0
8,20711,0.18981637,0,532,12147,7401,606,25,0,0,0,0,0
9,20711,0.22815406,0,224,6127,12321,2039,0,0,0,0,0,0
10,20711,0.18723975,0,559,12029,7784,339,0,0,0,0,0,0
11,20712,0.20038372,0,750,10506,7784,1560,112,0,0,0,0,0
12,20710,0.19631183,0,400,11256,8147,779,127,1,0,0,0,0
13,20711,0.22381903,0,74,6426,13076,1134,1,0,0,0,0,0
14,20711,0.17085683,0,1316,13630,5690,75,0,0,0,0,0,0
15,20712,0.19481692,0,801,10736,8413,635,95,32,0,0,0,0
16,20707,0.2092189,0,534,9042,9700,1125,278,28,0,0,0,0
17,20707,0.18687943,0,1372,11031,7511,791,2,0,0,0,0,0
18,20705,0.2126659,0,495,7982,10916,1286,26,0,0,0,0,0
19,20709,0.22350244,0,140,7054,11745,1679,90,1,0,0,0,0
20,20706,0.20748799,0,121,8810,11431,344,0,0,0,0,0,0
21,20706,0.23143774,0,89,5813,12836,1816,152,0,0,0,0,0
22,20711,0.18974775,0,620,11806,7738,452,95,0,0,0,0,0
23,20706,0.19415365,0,522,11609,7846,489,175,62,3,0,0,0
24,20709,0.15799892,4,2755,13719,4099,113,17,2,0,0,0,0
25,20709,0.22858065,0,90,6079,13007,1233,259,41,0,0,0,0
26,20703,0.18675116,0,1092,11462,7600,549,0,0,0,0,0,0
27,20701,0.18278888,0,1418,11813,6669,792,9,0,0,0,0,0
28,20706,0.1632071,0,2969,12243,5252,237,5,0,0,0,0,0
29,20709,0.19964047,3,536,9895,9816,459,0,0,0,0,0,0
30,20706,0.23812486,0,167,5290,12288,2892,69,0,0,0,0,0
31,20705,0.19122796,0,1177,10562,8146,813,7,0,0,0,0,0
32,20703,0.1501366,2,4094,12554,3975,78,0,0,0,0,0,0
33,20702,0.22412959,0,74,6547,12794,1287,0,0,0,0,0,0
34,20709,0.25418574,0,71,3777,12862,3454,433,85,27,0,0,0
35,20707,0.22647996,0,257,6524,11873,1930,114,9,0,0,0,0
36,20705,0.18894345,0,877,11362,7992,474,0,0,0,0,0,0
37,20702,0.19808477,0,464,10651,8849,626,76,36,0,0,0,0
38,20704,0.18377411,0,795,12168,7426,315,0,0,0,0,0,0
39,20705,0.23457691,0,159,5380,12792,2241,128,5,0,0,0,0
40,20713,0.22229114,0,475,7726,10059,2133,268,52,0,0,0,0
41,20707,0.22747903,0,112,6901,11534,2117,43,0,0,0,0,0
42,20706,0.2008911,1,706,9137,10422,440,0,0,0,0,0,0
43,20708,0.19937338,0,725,9922,9194,845,22,0,0,0,0,0
44,20707,0.25946087,0,99,3377,12294,4481,403,50,3,0,0,0
45,20706,0.20383231,0,565,9526,9552,1028,35,0,0,0,0,0
46,20704,0.16463624,0,1603,14428,4619,50,4,0,0,0,0,0
47,20706,0.23155501,0,198,6570,11036,2714,188,0,0,0,0,0
48,20710,0.186503,0,943,11577,7650,427,113,0,0,0,0,0
49,20710,0.20145279,0,679,9702,9195,1129,5,0,0,0,0,0
50,20703,0.25081146,0,102,4135,12202,3996,268,0,0,0,0,0
51,20707,0.2151012,0,676,8091,10026,1583,297,34,0,0,0,0
52,20708,0.19452016,0,508,13328,5775,429,216,193,132,127,0,0
53,20711,0.18618505,0,624,12295,7422,362,8,0,0,0,0,0
54,20709,0.20525819,0,245,9749,9875,816,24,0,0,0,0,0
55,20707,0.20591792,0,240,9329,10602,531,5,0,0,0,0,0
56,20704,0.19573684,0,696,10115,9431,462,0,0,0,0,0,0
57,20705,0.23891532,3,156,4743,13023,2724,56,0,0,0,0,0
58,20707,0.22550853,0,248,7273,10733,2401,52,0,0,0,0,0
59,20705,0.17874183,0,1582,11806,6944,368,5,0,0,0,0,0
60,20702,0.17143403,0,1502,13330,5630,239,1,0,0,0,0,0
61,20706,0.17319123,1,636,15468,4286,150,77,47,40,1,0,0
62,20709,0.1801316,0,1069,12259,7250,105,26,0,0,0,0,0
63,20702,0.2159199,0,194,7886,11589,947,48,38,0,0,0,0
64,20708,0.18747146,0,1292,11369,7517,265,115,62,74,14,0,0
65,20701,0.18261348,1,705,12670,7230,95,0,0,0,0,0,0
66,20713,0.20640671,1,310,9251,10312,827,12,0,0,0,0,0
67,20711,0.22227216,0,181,6988,11842,1641,59,0,0,0,0,0
68,20705,0.17836101,2,1119,13130,6021,385,48,0,0,0,0,0
69,20702,0.19182886,0,407,11898,7843,501,53,0,0,0,0,0
70,20703,0.18702605,2,1044,11627,7324,706,0,0,0,0,0,0
